City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Workington,GB,2021-09-23 01:17:05,54.6425,-3.5441,60.48,96,100,16.04,overcast clouds
224,Gornozavodsk,RU,2021-09-23 01:17:05,58.3758,58.3211,30.87,94,20,2.24,few clouds
225,Oriximina,BR,2021-09-23 01:17:06,-1.7656,-55.8661,80.38,62,100,5.99,overcast clouds
226,Severo-Kurilsk,RU,2021-09-23 01:17:06,50.6789,156.125,48.36,94,100,13.78,light rain
227,Rorvik,NO,2021-09-23 01:17:06,64.8621,11.2373,50.38,75,100,15.93,overcast clouds
228,Karangasem,ID,2021-09-23 01:17:07,-8.45,115.6167,81.48,77,61,6.08,broken clouds
229,Pangody,RU,2021-09-23 01:17:07,65.85,74.4859,36.43,98,100,7.83,light rain
230,Chapais,CA,2021-09-23 01:10:35,49.7834,-74.8492,42.66,80,100,6.51,overcast clouds
231,Sri Aman,MY,2021-09-23 01:17:07,1.2376,111.4621,82.45,89,20,1.14,few clouds
232,Quelimane,MZ,2021-09-23 01:17:08,-17.8786,36.8883,69.12,87,25,3.53,light rain
233,San Luis,AR,2021-09-23 01:17:08,-33.295,-66.3356,57.76,54,9,7.65,clear sky
234,Mehamn,NO,2021-09-23 01:17:08,71.0357,27.8492,46.09,85,100,14.54,light rain
235,Nokaneng,BW,2021-09-23 01:17:09,-19.6667,22.2667,64.15,59,55,11.95,broken clouds
236,Fairbanks,US,2021-09-23 01:15:37,64.8378,-147.7164,41.0,52,20,2.3,few clouds
237,Acari,PE,2021-09-23 01:17:09,-15.4311,-74.6158,64.67,81,59,3.51,broken clouds
238,Amboasary,MG,2021-09-23 01:17:09,-25.0333,46.3833,70.27,81,100,7.99,light rain
239,Boyolangu,ID,2021-09-23 01:17:10,-8.1181,111.8935,80.1,77,89,4.21,overcast clouds
240,Hambantota,LK,2021-09-23 01:17:10,6.1241,81.1185,79.93,81,6,13.87,clear sky
241,Otukpo,NG,2021-09-23 01:17:11,7.1913,8.1329,71.19,98,100,1.16,overcast clouds
242,Babanka,UA,2021-09-23 01:17:11,48.7097,30.4483,43.47,86,100,8.57,overcast clouds
243,Benghazi,LY,2021-09-23 01:13:35,32.1167,20.0667,80.98,52,6,7.43,clear sky
244,Fort Nelson,CA,2021-09-23 01:17:11,58.8053,-122.7002,49.59,43,20,11.5,few clouds
245,Pidhorodne,UA,2021-09-23 01:17:12,48.5753,35.1068,45.64,87,100,3.89,overcast clouds
246,Inta,RU,2021-09-23 01:17:12,66.0317,60.1659,32.68,91,5,4.61,clear sky
